AirportName,AirportCode
Abilene Regional Airport,ABI
Abraham Lincoln Capital Airport,SPI
Adak Airport,ADK
Akron-Canton Regional Airport,CAK
Albany International Airport,ALB
Albert J. Ellis Airport,OAJ
Albuquerque International Sunport,ABQ
Alexandria International Airport,AEX
Appleton International Airport,ATW
Arcata Airport,ACV
Asheville Regional Airport,AVL
Aspen-Pitkin County Airport,ASE
Atlantic City International Airport,ACY
Augusta Regional Airport (Bush Field),AGS
Austin-Bergstrom International Airport,AUS
Baltimore-Washington International Airport,BWI
Bangor International Airport,BGR
Baton Rouge Metropolitan Airport,BTR
Bellingham International Airport,BLI
Bert Mooney Airport,BTM
Bethel Airport,BET
Bill and Hillary Clinton National Airport (Adams Field),LIT
Billings Logan International Airport,BIL
Birmingham-Shuttlesworth International Airport,BHM
Bishop International Airport,FNT
Bismarck Municipal Airport,BIS
Blue Grass Airport,LEX
Bob Hope Airport (Hollywood Burbank Airport),BUR
Boise Airport (Boise Air Terminal),BOI
Bozeman Yellowstone International Airport (Gallatin Field Airport),BZN
Bradley International Airport,BDL
Brunswick Golden Isles Airport,BQK
Buffalo Niagara International Airport,BUF
Burlington International Airport,BTV
Capital Region International Airport ( Lansing Capital City),LAN
Cedar City Regional Airport,CDC
Central Illinois Regional Airport at Bloomington-Normal,BMI
Central Wisconsin Airport,CWA
Charleston International Airport/Charleston AFB,CHS
Charlotte Douglas International Airport,CLT
Charlottesville-Albemarle Airport,CHO
Chattanooga Metropolitan Airport (Lovell Field),CHA
Cherry Capital Airport,TVC
Chicago Midway International Airport,MDW
Chicago O'Hare International Airport,ORD
Cincinnati/Northern Kentucky International Airport,CVG
City of Colorado Springs Municipal Airport,COS
Cleveland Hopkins International Airport,CLE
Coastal Carolina Regional Airport (Craven County Regional),EWN
Columbia Metropolitan Airport,CAE
Columbus Metropolitan Airport,CSG
Corpus Christi International Airport,CRP
Cyril E. King Airport,STT
Dallas Love Field,DAL
Dallas/Fort Worth International Airport,DFW
Dane County Regional Airport,MSN
Daytona Beach International Airport,DAB
Deadhorse Airport (Prudhoe Bay Airport),SCC
Del Norte County Airport (Jack McNamara Field),CEC
Denver International Airport,DEN
Des Moines International Airport,DSM
Destin-Fort Walton Beach Airport/Eglin AFB,VPS
Detroit Metropolitan Airport,DTW
Dillingham Airport,DLG
Dothan Regional Airport,DHN
Dubuque Regional Airport,DBQ
Durango-La Plata County Airport,DRO
Eagle County Regional Airport,EGE
East Texas Regional Airport,GGG
Easterwood Airport,CLL
El Paso International Airport,ELP
Elko Regional Airport,EKO
Eppley Airfield,OMA
Eugene Airport (Mahlon Sweet Field),EUG
Evansville Regional Airport,EVV
Fairbanks International Airport,FAI
Fayetteville Regional Airport,FAY
Fort Lauderdale-Hollywood International Airport,FLL
Fort Smith Regional Airport,FSM
Fort Wayne International Airport,FWA
Fresno Yosemite International Airport,FAT
Friedman Memorial Airport,SUN
Gainesville Regional Airport,GNV
Boston Logan International Airport,BOS
General Mitchell International Airport,MKE
General Wayne A. Downing Peoria International Airport,PIA
George Bush Intercontinental Airport,IAH
Gerald R. Ford International Airport,GRR
Glacier Park International Airport,FCA
Golden Triangle Regional Airport,GTR
Grand Junction Regional Airport (Walker Field),GJT
Great Falls International Airport,GTF
Greater Rochester International Airport,ROC
Green Bay-Austin Straubel International Airport,GRB
Greenville-Spartanburg International Airport,GSP
Gulfport-Biloxi International Airport,GPT
Gunnison-Crested Butte Regional Airport,GUC
Harrisburg International Airport,MDT
Hartsfield-Jackson Atlanta International Airport,ATL
Hector International Airport,FAR
Helena Regional Airport,HLN
Henry E. Rohlsen Airport,STX
Hilo International Airport,ITO
Honolulu International Airport,HNL
Huntsville International Airport,HSV
Idaho Falls Regional Airport,IDA
Indianapolis International Airport,IND
Jackson Hole Airport,JAC
Jackson-Evers International Airport,JAN
Jacksonville International Airport,JAX
James M. Cox Dayton International Airport,DAY
John F. Kennedy International Airport (New York International Airport),JFK
John Wayne Airport (Orange County Airport),SNA
Juneau International Airport,JNU
Kahului Airport,OGG
Kalamazoo/Battle Creek International Airport,AZO
Kansas City International Airport,MCI
Ketchikan International Airport,KTN
Key West International Airport,EYW
Killeen-Fort Hood Regional Airport,GRK
King Salmon Airport,AKN
Kodiak Airport,ADQ
Kona International Airport at Keahole,KOA
La Crosse Regional Airport,LSE
Lafayette Regional Airport,LFT
LaGuardia Airport (Marine Air Terminal),LGA
Laredo International Airport,LRD
Lawton-Fort Sill Regional Airport,LAW
Lehigh Valley International Airport,ABE
Lewiston-Nez Perce County Airport,LWS
Lihue Airport,LIH
Lincoln Airport (Lincoln Municipal),LNK
Long Beach Airport (Daugherty Field),LGB
Long Island MacArthur Airport,ISP
Los Angeles International Airport,LAX
Louis Armstrong New Orleans International Airport,MSY
Louisville International Airport (Standiford Field),SDF
Lubbock Preston Smith International Airport,LBB
Luis Muñoz Marín International Airport,SJU
Magic Valley Regional Airport (Joslin Field),TWF
Manchester-Boston Regional Airport,MHT
MBS International Airport,MBS
McAllen-Miller International Airport (McAllen Miller International),MFE
McCarran International Airport,LAS
McClellan-Palomar Airport,CLD
McGhee Tyson Airport,TYS
Meadows Field,BFL
Melbourne International Airport,MLB
Memphis International Airport,MEM
Mercedita Airport,PSE
Meridian Regional Airport,MEI
Merle K. (Mudhole) Smith Airport,CDV
Miami International Airport,MIA
Midland International Airport,MAF
Minneapolis-Saint Paul International Airport,MSP
Missoula International Airport,MSO
Mobile Regional Airport,MOB
Monroe Regional Airport,MLU
Monterey Regional Airport (Monterey Peninsula Airport),MRY
Montgomery Regional Airport,MGM
Montrose Regional Airport,MTJ
Muskegon County Airport,MKG
Myrtle Beach International Airport,MYR
Nashville International Airport,BNA
Natrona County International Airport,CPR
Newark Liberty International Airport,EWR
Newport News/Williamsburg International Airport,PHF
Nome Airport,OME
Norfolk International Airport,ORF
Norman Y. Mineta San José International Airport,SJC
Northwest Arkansas Regional Airport,XNA
Oakland International Airport,OAK
Ontario International Airport,ONT
Orlando International Airport,MCO
Palm Beach International Airport,PBI
Palm Springs International Airport,PSP
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),PNS
Petersburg James A. Johnson Airport,PSG
Philadelphia International Airport,PHL
Phoenix Sky Harbor International Airport,PHX
Piedmont Triad International Airport,GSO
Pittsburgh International Airport,PIT
Pocatello Regional Airport,PIH
Port Columbus International Airport,CMH
Portland International Airport,PDX
Portland International Jetport,PWM
Quad City International Airport,MLI
Rafael Hernández Airport,BQN
Raleigh-Durham International Airport,RDU
Ralph Wien Memorial Airport,OTZ
Rapid City Regional Airport,RAP
Redding Municipal Airport,RDD
Redmond Municipal Airport (Roberts Field),RDM
Reno/Tahoe International Airport,RNO
Richmond International Airport,RIC
Rick Husband Amarillo International Airport,AMA
Roanoke Regional Airport (Woodrum Field),ROA
Rochester International Airport,RST
Rogue Valley International Medford Airport,MFR
Ronald Reagan Washington National Airport,DCA
Roswell International Air Center,ROW
Sacramento International Airport,SMF
Salt Lake City International Airport,SLC
San Angelo Regional Airport (Mathis Field),SJT
San Antonio International Airport,SAT
San Diego International Airport (Lindbergh Field),SAN
San Francisco International Airport,SFO
San Luis Obispo County Regional Airport (McChesney Field),SBP
Santa Barbara Municipal Airport (Santa Barbara Airport),SBA
Santa Maria Public Airport (Capt G. Allan Hancock Field),SMX
Sarasota-Bradenton International Airport,SRQ
Savannah/Hilton Head International Airport,SAV
Sawyer International Airport,MQT
Seattle-Tacoma International Airport,SEA
Shreveport Regional Airport,SHV
Sioux Falls Regional Airport,FSD
Sitka Rocky Gutierrez Airport,SIT
South Bend International Airport (South Bend Regional),SBN
Southwest Florida International Airport,RSW
Southwest Georgia Regional Airport,ABY
Spokane International Airport,GEG
Springfield-Branson National Airport,SGF
St. George Regional Airport,SGU
St. Louis International Airport at Lambert Field,STL
Stewart International Airport,SWF
Syracuse Hancock International Airport,SYR
Tallahassee International Airport,TLH
Tampa International Airport,TPA
Ted Stevens Anchorage International Airport,ANC
Texarkana Regional Airport (Webb Field),TXK
The Eastern Iowa Airport,CID
Theodore Francis Green State Airport,PVD
Toledo Express Airport,TOL
Tri-Cities Airport,PSC
Tri-Cities Regional Airport,TRI
Tucson International Airport,TUS
Tulsa International Airport,TUL
Tyler Pounds Regional Airport,TYR
University of Illinois - Willard Airport,CMI
University Park Airport,SCE
Valdosta Regional Airport,VLD
Valley International Airport,HRL
Waco Regional Airport,ACT
Washington Dulles International Airport,IAD
Westchester County Airport,HPN
Westerly State Airport,WYS
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),ICT
Wichita Falls Municipal Airport/Sheppard AFB,SPS
Wiley Post-Will Rogers Memorial Airport,BRW
Wilkes-Barre/Scranton International Airport,AVP
Will Rogers World Airport,OKC
William P. Hobby Airport,HOU
Wilmington International Airport,ILM
Wrangell Airport,WRG
Yakutat Airport,YAK
Yampa Valley Airport (Yampa Valley Regional),HDN
Yeager Airport,CRW
Yellowstone Regional Airport,COD
Yuma International Airport,YUM
